epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,40944.1,0.37851,0.24672,0.80511,0.9937,0.99291,0.9941,0.96383,0.28974,0.15709,0.78684,0.0049015,0.0049015,0.0049015
105,41365.9,0.37729,0.2469,0.80453,0.99387,0.99259,0.99409,0.96402,0.28917,0.15683,0.78671,0.004852,0.004852,0.004852
106,41728.9,0.37546,0.24563,0.8041,0.99363,0.99283,0.99411,0.96399,0.28909,0.15655,0.78667,0.0048025,0.0048025,0.0048025
107,42149.4,0.37562,0.24531,0.80411,0.99363,0.99278,0.99413,0.96408,0.28905,0.15632,0.78656,0.004753,0.004753,0.004753
108,42496.5,0.37494,0.24512,0.80505,0.99378,0.99281,0.99414,0.96442,0.28864,0.15614,0.78647,0.0047035,0.0047035,0.0047035
109,42918.7,0.37423,0.24408,0.80397,0.99398,0.99267,0.99415,0.96434,0.28861,0.15601,0.7864,0.004654,0.004654,0.004654
110,43254.6,0.37507,0.24472,0.80388,0.99407,0.99273,0.99418,0.9643,0.28859,0.1559,0.78639,0.0046045,0.0046045,0.0046045
111,43766.2,0.37345,0.24315,0.80428,0.99427,0.99279,0.99418,0.96435,0.28855,0.15581,0.78632,0.004555,0.004555,0.004555
112,44104.8,0.37299,0.2435,0.80377,0.99397,0.9929,0.99418,0.96443,0.28824,0.15551,0.78619,0.0045055,0.0045055,0.0045055
113,44464.3,0.37152,0.24235,0.80344,0.99398,0.99311,0.99419,0.9647,0.28751,0.1553,0.78601,0.004456,0.004456,0.004456
114,44766.9,0.37148,0.24165,0.80331,0.9941,0.99324,0.9942,0.96497,0.28707,0.15501,0.7859,0.0044065,0.0044065,0.0044065
115,45133,0.37114,0.24235,0.80316,0.99398,0.99328,0.9942,0.96495,0.28679,0.15469,0.78584,0.004357,0.004357,0.004357
116,45509.1,0.37047,0.2402,0.80345,0.99404,0.99333,0.99421,0.96515,0.28644,0.15454,0.78572,0.0043075,0.0043075,0.0043075
117,46003.5,0.37051,0.24071,0.80336,0.99397,0.99341,0.99423,0.96532,0.28637,0.15439,0.78575,0.004258,0.004258,0.004258
118,46425.5,0.36962,0.23909,0.80341,0.9938,0.99348,0.99425,0.96549,0.28618,0.15414,0.78569,0.0042085,0.0042085,0.0042085
119,47027.1,0.36899,0.23933,0.80281,0.9941,0.99335,0.99426,0.96566,0.28531,0.15375,0.78548,0.004159,0.004159,0.004159
120,47435,0.36775,0.23764,0.80251,0.99417,0.99341,0.99428,0.9658,0.28492,0.15345,0.78536,0.0041095,0.0041095,0.0041095
121,47938.2,0.36727,0.2381,0.80254,0.99423,0.9935,0.99429,0.9662,0.28414,0.15331,0.78518,0.00406,0.00406,0.00406
122,48353.3,0.36757,0.23827,0.8027,0.99395,0.99368,0.9943,0.96616,0.284,0.15298,0.78514,0.0040105,0.0040105,0.0040105
123,48844.7,0.36548,0.23563,0.80189,0.9938,0.99393,0.99433,0.96642,0.28335,0.15252,0.78503,0.003961,0.003961,0.003961
124,49193.3,0.3653,0.2363,0.80174,0.99397,0.99388,0.99435,0.96654,0.28325,0.15229,0.78494,0.0039115,0.0039115,0.0039115
125,49666.2,0.36578,0.23592,0.80273,0.99407,0.99378,0.99437,0.96663,0.28302,0.15213,0.78482,0.003862,0.003862,0.003862
126,50017.5,0.36397,0.23543,0.80141,0.9941,0.99374,0.99437,0.96684,0.28251,0.15181,0.78472,0.0038125,0.0038125,0.0038125
127,50614.1,0.36454,0.23576,0.80187,0.99418,0.99372,0.99438,0.96698,0.2822,0.15145,0.78461,0.003763,0.003763,0.003763
128,50976.3,0.36363,0.23408,0.80211,0.99454,0.9937,0.99438,0.96711,0.28173,0.15115,0.7845,0.0037135,0.0037135,0.0037135
129,51453.8,0.36221,0.23285,0.80124,0.99468,0.99356,0.99438,0.96728,0.28151,0.15091,0.78443,0.003664,0.003664,0.003664
130,51794.8,0.36152,0.23292,0.80119,0.99459,0.99373,0.99439,0.96731,0.28147,0.1509,0.78436,0.0036145,0.0036145,0.0036145
131,52453.7,0.36102,0.2314,0.80107,0.99462,0.99379,0.9944,0.96737,0.28129,0.15063,0.78429,0.003565,0.003565,0.003565
